user,Kathmandu FunValley;1,Botanical Garden;2,Simba Fall;3,Sundarijal water fall;4,jhor;5,Taudaha lake;6,Phulchowki Hike;7,Kakani Hike;8,Amitabha Monastery Hike;9,Buddhanilkantha;10,Kopan Monastery;11,Swyambunath The Monkey Temple;12,Changunarayan;13,Patan Durbar Square;14,Bhaktapur Durbar Square;15,Kathmandu Durbar square;16,Pashupatinath;17,Narayanhiti Palace Museum;18,Taleju Temple;19,Hanuman Dhoka Durbar;20,Chandragiri Cable Car Bottom Station Nepal;21,Uma Maheshwor Temple;22,Siddhartha Art Gallery;23,Badikhel;24,Nagarkot;25,Lankuri Bhanjyang;26,Dharahara Tower;27,Kumari Ghar;28,Durbar Marg;29,Rani Pokhari;30,The Taragaon Museum;31,Central Zoo;32,Tundikhel;33,Kaal Bhairav;34,Whoopee Land Amusement Water Park;35,Jamacho Gumba;36,Sundari Chowk;37,Jagat-Narayan Temple;38,Gokarna Forest Resort;39,Namobuddha Monastery;40,Ason Bazar;41,National Museum of Nepal;42,55 Windows Palace;43,Siddha Pokhari;44,Naag Pokhari;45,Royal Nepal Golf Club;46,Gokarna Golf Course;47
1,5,3,4,3,3,4,5,3,2,5,5,5,5,3,5,4,1,4,4,3,4,3,2,4,1,3,5,4,3,4,3,5,5,5,4,5,3,5,4,4,3,3,5,4,4,5,5
2,4,0,0,0,0,0,0,2,0,0,4,4,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5
5,4,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,4,3,0,0,0,4,0,0,0,0,0,4,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5
6,4,0,0,0,0,2,4,0,0,4,2,5,3,0,4,0,3,3,4,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,4,0,5,5
7,0,0,0,5,0,5,5,4,3,5,0,0,0,0,0,0,0,5,3,0,3,0,4,5,3,4,4,0,0,5,0,0,5,0,5,0,0,5,2,4,5,3,0,5,0,0,5
8,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,5,0,0,5
9,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5
10,4,0,0,4,0,4,4,0,4,5,3,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,4,4,0,0,4,0,0,0,0,4,0,5,0,0,0,0,0,5,0,4,5
